年月日,平均気温,最高気温,最低気温,降水量の合計
2022/1/1,3.4,7.8,-1,0
2022/1/2,3.5,7.9,0.4,0
2022/1/3,5.5,10.5,0.5,0
2022/1/4,5.2,12.4,0.6,0
2022/1/5,4.1,8.7,0.6,0
2022/1/6,0.7,2.6,-1.7,6.5
2022/1/7,2.6,8.4,-3.5,0
2022/1/8,4.5,9.5,-0.2,0
2022/1/9,6.3,13.4,-0.5,0
2022/1/10,7.7,9.6,6.1,0
2022/1/11,5.7,7.2,4.3,16
2022/1/12,5,8.6,2.4,0
2022/1/13,5.7,11.5,2.3,0
2022/1/14,4.4,8.6,0.7,0
2022/1/15,5.5,10.5,-0.2,0
2022/1/16,5.4,11.1,0.3,0
2022/1/17,6,11.8,1.4,0
2022/1/18,4.4,8.7,1.6,0
2022/1/19,3.7,8.1,0.6,0
2022/1/20,3.4,8.4,-1,0
2022/1/21,3,7.8,-0.9,0
2022/1/22,4.5,9.9,-0.1,0
2022/1/23,5.1,7.7,1.6,0
2022/1/24,6.4,11,1.4,0
2022/1/25,5.2,9.6,0.3,0
2022/1/26,5.5,9.5,3.7,0
2022/1/27,6.8,11.9,2,0
2022/1/28,6.6,11.8,4.1,0
2022/1/29,5.9,10,3.7,0
2022/1/30,5.2,8.2,2.2,0
2022/1/31,4.9,10,1.5,0
2022/2/1,5.6,11.2,1.1,0
2022/2/2,5.5,11.1,0.9,0
2022/2/3,5.8,11.8,0.6,0
2022/2/4,4.9,8.5,2.4,0
2022/2/5,3.5,9.2,0.3,0
2022/2/6,2.3,8.2,-1.9,0
2022/2/7,4.5,9.7,-0.5,0
2022/2/8,5.3,9.1,2.2,0
2022/2/9,6.2,10.8,1.8,0
2022/2/10,2.3,6.1,0.6,27
2022/2/11,4.1,9.2,0.7,2.5
2022/2/12,4.7,9.9,0.2,0
2022/2/13,3.1,5,0.8,22.5
2022/2/14,3.9,8,0.8,3.5
2022/2/15,5.5,11.6,1.1,0
2022/2/16,6,11.8,1.3,0
2022/2/17,4.6,9.7,0.5,0
2022/2/18,5.7,11.4,-0.2,0
2022/2/19,5,8.9,1.5,6.5
2022/2/20,5.9,10,2.4,9
2022/2/21,4.1,8.7,1.2,0
2022/2/22,4.4,10,-0.5,0
2022/2/23,4.4,10.3,0.1,0
2022/2/24,4.8,10.1,1.7,0
2022/2/25,6.5,13.4,-0.1,0
2022/2/26,8.6,14.7,3,0
2022/2/27,9.5,18.5,3.2,0
2022/2/28,9.8,15.9,4.5,0
2022/3/1,11,18.3,4.9,0
2022/3/2,11.2,16.3,7.2,4
2022/3/3,9.5,15,4.7,0
2022/3/4,8.1,12.2,4.7,0
2022/3/5,11.2,17.9,4.3,0
2022/3/6,8.1,13.9,4.6,0
2022/3/7,8.3,14.2,3.9,0
2022/3/8,6.3,8,4.1,0.5
2022/3/9,7.9,13.6,2.6,0
2022/3/10,9,14.3,3.7,0
2022/3/11,12,18.7,5.2,0
2022/3/12,14.6,21.8,7.8,0
2022/3/13,14.7,19.5,8.7,0
2022/3/14,16.4,24.1,7.8,1
2022/3/15,12.7,20.3,7.2,0
2022/3/16,14.1,20.3,9.5,0
2022/3/17,14.1,21,8.3,0
2022/3/18,5.2,10.3,3.8,48
2022/3/19,10.1,18.6,4.4,22
2022/3/20,9.9,15.5,4.1,0
2022/3/21,9.6,14.1,6.2,0
2022/3/22,3.7,9.9,1.2,18
2022/3/23,5.2,10.5,0.5,1
2022/3/24,8.2,14.3,2.4,1
2022/3/25,12.2,17.6,5.2,0
2022/3/26,16.1,19,13.3,7.5
2022/3/27,16.2,21.4,11.5,0.5
2022/3/28,13.5,19,10.7,0
2022/3/29,10.2,11,9.1,0
2022/3/30,14.5,20.3,9.3,0
2022/3/31,15.1,22.8,8.9,7
2022/4/1,7.6,12.4,3.9,16.5
2022/4/2,8.5,12.9,3.6,0
2022/4/3,8.2,10.1,6.6,13.5
2022/4/4,8.5,9.8,6.7,53.5
2022/4/5,12.6,17.9,8.2,1.5
2022/4/6,15.5,21.8,10.6,0
2022/4/7,14.3,19.2,10.9,0
2022/4/8,15.4,21.7,9.7,0
2022/4/9,17.2,23.8,10.1,0
2022/4/10,19.6,26.8,13,0
2022/4/11,18.9,24.7,13.8,0
2022/4/12,20,25.6,15.4,0
2022/4/13,20.8,26.4,15.2,0
2022/4/14,12.3,20.2,10,4
2022/4/15,10.1,12.1,8.3,19.5
2022/4/16,12.5,20.2,8,1
2022/4/17,13.7,17.8,9.9,0
2022/4/18,14.3,18.2,11.7,28.5
2022/4/19,15.3,20.9,10.6,1
2022/4/20,12.2,14,9.5,1.5
2022/4/21,16.4,21.5,12.2,8.5
2022/4/22,19.2,26.2,13.5,29
2022/4/23,20.8,26.7,16.5,0
2022/4/24,17.3,20.3,14.1,3.5
2022/4/25,19.9,26.6,13,0
2022/4/26,21.3,23.6,17.9,2.5
2022/4/27,23,27.7,18.9,0.5
2022/4/28,16.9,21.1,14.2,0
2022/4/29,12.9,16.4,9,40
2022/4/30,12.6,18.4,7.4,0
2022/5/1,12.7,16.8,10.8,12
2022/5/2,13.3,19.4,9.5,1
2022/5/3,15.2,20.4,9.3,0
2022/5/4,17.9,25,10.8,0
2022/5/5,19.8,26.3,13.6,0
2022/5/6,19.5,24.5,15.2,0
2022/5/7,18.5,22.8,15.4,7.5
2022/5/8,18.3,22.5,16.2,0
2022/5/9,14.1,17.3,11.2,8
2022/5/10,16.5,23,11.2,0.5
2022/5/11,18.7,24.6,13,0
2022/5/12,19.4,25,16.3,2
2022/5/13,18.8,20.6,17.3,28.5
2022/5/14,21.8,25.6,19.6,9.5
2022/5/15,17.5,19.9,14.7,1
2022/5/16,14.5,15.6,13.2,7.5
2022/5/17,15.7,18.2,13.7,0.5
2022/5/18,18.8,24.9,13.4,0
2022/5/19,20.5,26.6,14.2,0
2022/5/20,21.2,25.9,16.3,0
2022/5/21,18.2,20.7,15,39.5
2022/5/22,19,25.9,14,1.5
2022/5/23,19.6,26.1,16,0.5
2022/5/24,20.9,26.2,16.5,0
2022/5/25,21.8,27,18,0
2022/5/26,21.6,26.2,17.2,0
2022/5/27,21,24.6,19.2,59.5
2022/5/28,22.4,27.7,16.8,0
2022/5/29,24.1,31.2,16.6,0
2022/5/30,22.3,27.8,18.8,0
2022/5/31,18.7,20.4,16.6,19
2022/6/1,21.8,27.1,17.3,0
2022/6/2,22.5,28.1,17.6,0
2022/6/3,20.6,27.2,17.3,5
2022/6/4,20.3,25.6,15.8,0
2022/6/5,21.5,26.2,18.2,0
2022/6/6,16.6,18.4,15.7,43.5
2022/6/7,16.8,19.8,15.3,3.5
2022/6/8,17.2,20.5,14.7,0
2022/6/9,19.1,24.7,15.9,0
2022/6/10,21.2,25.2,18,0
2022/6/11,21.9,25.4,19.4,0.5
2022/6/12,21.4,26.6,18,0.5
